Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA1900901,FIRE SUPPRESSION CAMP #19,C,D1,T2,LOS ANGELES  ,GU
CA1900903,SLEEPY VALLEY WATER COMPANY,C,D1,There are no treatment plants,LOS ANGELES  ,GW
CA1900907,SHERWOOD MOBILE HOME PARK,C,D1,T1,LOS ANGELES  ,GW
CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,C,D1,T1,LOS ANGELES  ,GW
CA1900936,AQUA J. MUTUAL WATER COMPANY,C,D1,There are no treatment plants,LOS ANGELES  ,GW
CA1900942,ALPINE SPRINGS MOBILE HOME PARK,C,D1,T2,LOS ANGELES  ,GW
CA1900961,WINTERHAVEN MOBILE ESTATES,C,D1,T1,LOS ANGELES  ,GW
CA1900975,CALI LAKE RV RESORT,C,D1,T2,LOS ANGELES  ,GW
CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,C,D1,There are no treatment plants,LOS ANGELES  ,GW
CA1907028,SPV WATER COMPANY,C,D1,T1,LOS ANGELES  ,GW
CA1909006,WEST VALLEY COUNTY WATER DISTRICT,C,D1,TD,LOS ANGELES  ,GW
CA1910001,CITY OF ALHAMBRA,C,D4,T3,LOS ANGELES  ,SWP
CA1910002,AMARILLO MUTUAL WATER COMPANY,C,D2,TD,LOS ANGELES  ,GW
CA1910003,CITY OF ARCADIA,C,D4,T3,LOS ANGELES  ,GW
CA1910004,GSWC - ARTESIA,C,D4,T2,LOS ANGELES  ,GW
CA1910005,"LOS ANGELES CWWD 40, REG. 38-LAKE LA",C,D4,TD,LOS ANGELES  ,SWP
CA1910006,SO. CAL. EDISON CO.-SANTA CATALINA,C,D3,T3,LOS ANGELES  ,SW
CA1910007,AZUSA LIGHT AND WATER,C,D5,T4,LOS ANGELES  ,SW
CA1910009,VALLEY COUNTY WATER DIST.,C,D4,T5,LOS ANGELES  ,GW
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,C,D2,TD,LOS ANGELES  ,SWP
CA1910011,"GSWC - BELL, BELL GARDENS",C,D4,T2,LOS ANGELES  ,SWP
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,C,D1,There are no treatment plants,LOS ANGELES  ,SWP
CA1910013,BELLFLOWER - SOMERSET MWC,C,D3,T1,LOS ANGELES  ,SWP
CA1910017,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,C,D5,T2,LOS ANGELES  ,SWP
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,C,D2,TD,LOS ANGELES  ,SWP
CA1910019,"CERRITOS - CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP
CA1910020,CAL-AM WATER COMPANY - EAST PASADENA,C,D2,TD,LOS ANGELES  ,GW
CA1910021,LIBERTY UTILITIES - COMPTON,C,D3,T1,LOS ANGELES  ,SWP
CA1910022,CALIF STATE POLYTECHNICAL UNIV - POMONA,C,D4,T3,LOS ANGELES  ,SW
CA1910023,AVERYDALE MWC,C,D2,T1,LOS ANGELES  ,GW
CA1910024,GSWC - CLAREMONT,C,D4,T2,LOS ANGELES  ,SWP
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",C,D1,T1,LOS ANGELES  ,SWP
CA1910026,"COMPTON-CITY, WATER DEPT.",C,D4,TD,LOS ANGELES  ,SWP
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",C,D1,T1,LOS ANGELES  ,GW
CA1910028,CRESCENTA VALLEY CWD,C,D4,T3,LOS ANGELES  ,SWP
CA1910029,CITY OF INDUSTRY WATERWORKS SYSTEMS,C,D2,Operator is not required,LOS ANGELES  ,GW
CA1910030,GSWC - CULVER CITY,C,D4,T1,LOS ANGELES  ,SWP
CA1910032,FOOTHILL MUNICIPAL WATER DIST.,C,D4,There are no treatment plants,LOS ANGELES  ,SWP
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,C,D5,T2,LOS ANGELES  ,SWP
CA1910034,"DOWNEY - CITY, WATER DEPT.",C,D4,There are no treatment plants,LOS ANGELES  ,GW
CA1910035,KINNELOA IRRIGATION DIST.,C,D3,TD,LOS ANGELES  ,GW
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,C,D5,T3,LOS ANGELES  ,SWP
CA1910038,"EL MONTE-CITY, WATER DEPT.",C,D3,T2,LOS ANGELES  ,GW
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,C,D5,T5,LOS ANGELES  ,GW
CA1910040,"EL SEGUNDO-CITY, WATER DEPT.",C,D3,There are no treatment plants,LOS ANGELES  ,SWP
CA1910041,THREE VALLEYS MWD,C,D4,T5,LOS ANGELES  ,SW
CA1910042,"PICO RIVERA - CITY, WATER DEPT.",C,D3,TD,LOS ANGELES  ,GW
CA1910043,"GLENDALE-CITY, WATER DEPT.",C,D5,T5,LOS ANGELES  ,SWP
CA1910044,"GLENDORA-CITY, WATER DEPT.",C,D4,T2,LOS ANGELES  ,SWP
CA1910045,ANTELOPE VALLEY EAST KERN WATER AGENCY,C,D4,T5,LOS ANGELES  ,SW
CA1910046,SUBURBAN WATER SYSTEMS-GLENDORA,C,D2,There are no treatment plants,LOS ANGELES  ,SWP
CA1910047,HAWTHORNE-CITY WATER DEPT.,C,D3,T3,LOS ANGELES  ,SWP
CA1910048,SANTA CLARITA VALLEY W.A.-IMPORTED DIVIS,C,D5,T5,LOS ANGELES  ,SW
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",C,D4,TD,LOS ANGELES  ,SWP
CA1910050,"COMMERCE-CITY, WATER DEPT.",C,D2,T2,LOS ANGELES  ,SWP
CA1910051,"INGLEWOOD- CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,C,D4,T2,LOS ANGELES  ,SWP
CA1910053,HEMLOCK MUTUAL WATER CO.,C,D2,TD,LOS ANGELES  ,GW
CA1910054,LA CANADA IRRIGATION DIST.,C,D3,TD,LOS ANGELES  ,SWP
CA1910056,LAKE ELIZABETH MUTUAL WATER CO.,C,D2,T2,LOS ANGELES  ,SWP
CA1910059,SUBURBAN WATER SYSTEMS-LA MIRADA,C,D3,T2,LOS ANGELES  ,GW
CA1910060,LA PUENTE VALLEY CWD,C,D3,T3,LOS ANGELES  ,GW
CA1910061,LAS FLORES WATER CO.,C,D3,T2,LOS ANGELES  ,SWP
CA1910062,"LA VERNE, CITY WD",C,D4,T3,LOS ANGELES  ,SWP
CA1910063,LINCOLN AVENUE WATER CO.,C,D4,T2,LOS ANGELES  ,SW
CA1910064,LITTLEROCK CREEK IRRIGATION DIST.,C,D2,TD,LOS ANGELES  ,GW
CA1910065,LONG BEACH UTILITIES DEPARTMENT,C,D5,T5,LOS ANGELES  ,SWP
CA1910066,LEISURE LAKE MOBILE ESTATES,C,D1,T2,LOS ANGELES  ,GW
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",C,D5,T5,LOS ANGELES  ,SW
CA1910070,LOS ANGELES CWWD 40 REG 4 & 34 LANCASTER,C,D5,T2,LOS ANGELES  ,SWP
CA1910072,GSWC - WILLOWBROOK,C,D2,T1,LOS ANGELES  ,SWP
CA1910073,"LOMITA-CITY, WATER DEPT.",C,D3,There are no treatment plants,LOS ANGELES  ,SWP
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,C,D1,There are no treatment plants,LOS ANGELES  ,SWP
CA1910077,GSWC - FLORENCE/GRAHAM,C,D3,T2,LOS ANGELES  ,SWP
CA1910079,"LYNWOOD-CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,C,D1,T1,LOS ANGELES  ,GW
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",C,D4,T2,LOS ANGELES  ,SWP
CA1910084,MAYWOOD MUTUAL WATER CO. #1,C,D2,T1,LOS ANGELES  ,SWP
CA1910085,MAYWOOD MUTUAL WATER CO. #2,C,D2,T1,LOS ANGELES  ,SWP
CA1910086,MAYWOOD MUTUAL WATER CO. #3,C,D2,TD,LOS ANGELES  ,SWP
CA1910087,METROPOLITAN WATER DIST. OF SO. CAL.,C,D5,T5,LOS ANGELES  ,SW
CA1910090,"MONROVIA-CITY, WATER DEPT.",C,D4,T4,LOS ANGELES  ,GW
CA1910091,MONTEBELLO LAND & WATER CO.,C,D2,T2,LOS ANGELES  ,GW
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",C,D5,T4,LOS ANGELES  ,GW
CA1910096,SANTA CLARITA VALLEY W.A.-NEWHALL DIV.,C,D4,T2,LOS ANGELES  ,SWP
CA1910098,GSWC - NORWALK,C,D4,T2,LOS ANGELES  ,SWP
CA1910099,PARADISE RANCH MHP,C,D1,T1,LOS ANGELES  ,GW
CA1910101,ORCHARD DALE WATER DISTRICT,C,D3,T2,LOS ANGELES  ,GWP
CA1910102,PALMDALE WATER DIST.,C,D5,T5,LOS ANGELES  ,SW
CA1910103,PALM RANCH IRRIGATION DIST.,C,D2,T2,LOS ANGELES  ,SWP
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,C,D5,There are no treatment plants,LOS ANGELES  ,SWP
CA1910105,"PARAMOUNT - CITY, WATER DEPT.",C,D4,T2,LOS ANGELES  ,SWP
CA1910108,CITY OF BELL GARDENS,C,D2,T2,LOS ANGELES  ,SWP
CA1910117,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 2,C,D2,There are no treatment plants,LOS ANGELES  ,SWP
CA1910124,PASADENA WATER AND POWER,C,D5,T4,LOS ANGELES  ,SWP
CA1910125,PICO WD,C,D3,TD,LOS ANGELES  ,GW
CA1910126,"POMONA - CITY, WATER DEPT.",C,D5,T5,LOS ANGELES  ,SW
CA1910127,"COVINA-CITY, WATER DEPT.",C,D4,There are no treatment plants,LOS ANGELES  ,SWP
CA1910128,COVINA IRRIGATING CO.,C,D4,T4,LOS ANGELES  ,SW
CA1910130,QUARTZ HILL WATER DIST.,C,D4,T2,LOS ANGELES  ,SWP
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,C,D5,T1,LOS ANGELES  ,SWP
CA1910139,CAL/AM WATER COMPANY - SAN MARINO,C,D4,T2,LOS ANGELES  ,SWP
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,C,D3,T3,LOS ANGELES  ,SW
CA1910142,GSWC-SAN DIMAS,C,D5,T2,LOS ANGELES  ,SWP
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",C,D3,T2,LOS ANGELES  ,GW
CA1910144,SAN GABRIEL COUNTY WD,C,D3,T2,LOS ANGELES  ,GW
CA1910146,"SANTA MONICA-CITY, WATER DIVISION",C,D5,T4,LOS ANGELES  ,SWP
CA1910147,SUBURBAN WATER SYSTEMS - SATIVA,C,D2,TD,LOS ANGELES  ,SWP
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",C,D3,T2,LOS ANGELES  ,SWP
CA1910149,"SIGNAL HILL - CITY, WATER DEPT.",C,D4,T2,LOS ANGELES  ,SWP
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP
CA1910153,SOUTH MONTEBELLO IRRIGATION DIST.,C,D2,T2,LOS ANGELES  ,GW
CA1910154,CITY OF SOUTH PASADENA,C,D4,T3,LOS ANGELES  ,SWP
CA1910155,GSWC - SOUTHWEST,C,D5,T2,LOS ANGELES  ,SWP
CA1910156,"BEVERLY HILLS-CITY, WATER DEPT.",C,D4,T4,LOS ANGELES  ,SWP
CA1910157,SUNNY SLOPE WATER CO.,C,D3,T3,LOS ANGELES  ,GW
CA1910158,STERLING MUTUAL WATER COMPANY,C,D1,There are no treatment plants,LOS ANGELES  ,GW
CA1910159,TRACT 180 MUTUAL WATER CO.,C,D3,TD,LOS ANGELES  ,GW
CA1910160,TRACT 349 MUTUAL WATER CO.,C,D3,TD,LOS ANGELES  ,GW
CA1910161,LIBERTY UTILITIES - LYNWOOD,C,D4,T2,LOS ANGELES  ,SWP
CA1910163,VALENCIA HEIGHTS WATER CO.,C,D3,T2,LOS ANGELES  ,SWP
CA1910165,VALLEY VIEW MUTUAL WATER CO.,C,D2,TD,LOS ANGELES  ,GW
CA1910166,VALLEY WATER CO.,C,D3,T3,LOS ANGELES  ,SWP
CA1910167,"VERNON-CITY, WATER DEPT.",C,D4,T1,LOS ANGELES  ,SWP
CA1910169,WALNUT PARK MUTUAL WATER CO.,C,D3,TD,LOS ANGELES  ,GW
CA1910173,"WHITTIER-CITY, WATER DEPT.",C,D4,T4,LOS ANGELES  ,GW
CA1910174,SUBURBAN WATER SYSTEMS-WHITTIER,C,D5,TD,LOS ANGELES  ,GW
CA1910179,"BURBANK-CITY, WATER DEPT.",C,D5,T4,LOS ANGELES  ,SWP
CA1910185,LOS ANGELES CWWD 36-VAL VERDE,C,D3,T1,LOS ANGELES  ,SWP
CA1910186,CAL-AM WATER COMPANY - DUARTE,C,D4,TD,LOS ANGELES  ,GW
CA1910189,SAN GABRIEL VALLEY WATER CO-MONTEBELLO 1,C,D3,There are no treatment plants,LOS ANGELES  ,GWP
CA1910191,"NORWALK - CITY, WATER DEPT.",C,D4,T1,LOS ANGELES  ,SWP
CA1910194,ROWLAND WATER DISTRICT,C,D5,There are no treatment plants,LOS ANGELES  ,SWP
CA1910195,GSWC - HOLLYDALE,C,D2,T2,LOS ANGELES  ,GW
CA1910199,CALIFORNIA DOMESTIC WATER COMPANY,C,D4,T5,LOS ANGELES  ,GW
CA1910200,SUBURBAN WATER SYSTEMS-COVINA KNOLLS,C,D1,There are no treatment plants,LOS ANGELES  ,SWP
CA1910203,"LOS ANGELES CWWD 40, R 24,27,33-PEARBLSM",C,D2,T2,LOS ANGELES  ,SWP
CA1910204,LOS ANGELES CWWD 29 & 80-MALIBU,C,D4,T1,LOS ANGELES  ,SWP
CA1910205,SUBURBAN WATER SYSTEMS-SAN JOSE,C,D5,T4,LOS ANGELES  ,SWP
CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,C,D5,T1,LOS ANGELES  ,SWP
CA1910212,GSWC-SOUTH ARCADIA,C,D3,T2,LOS ANGELES  ,GW
CA1910213,"TORRANCE-CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,SWP
CA1910218,LA HABRA HEIGHTS CWD,C,D2,TD,LOS ANGELES  ,SWP
CA1910223,GSWC-SOUTH SAN GABRIEL,C,D4,T2,LOS ANGELES  ,SWP
CA1910225,LAS VIRGENES MWD,C,D5,T4,LOS ANGELES  ,SW
CA1910234,WALNUT VALLEY WATER DISTRICT,C,D5,There are no treatment plants,LOS ANGELES  ,SWP
CA1910239,"LAKEWOOD - CITY, WATER DEPT.",C,D5,T2,LOS ANGELES  ,GW
CA1910240,SANTA CLARITA VALLEY W.A.-VALENCIA DIVIS,C,D5,T5,LOS ANGELES  ,SW
CA1910241,LIBERTY UTILITIES - MESA CREST,C,D2,There are no treatment plants,LOS ANGELES  ,SWP
CA1910242,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,C,D2,T2,LOS ANGELES  ,GW
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,C,D2,T2,LOS ANGELES  ,SWP
CA1910244,GREEN VALLEY CWD,C,D2,T1,LOS ANGELES  ,GW
CA1910245,"SANTA FE SPRINGS - CITY, WATER DEPT.",C,D4,There are no treatment plants,LOS ANGELES  ,SWP
CA1910246,LAND PROJECTS MUTUAL WATER CO.,C,D2,TD,LOS ANGELES  ,GW
CA1910247,SANTA CLARITA VALLEY W.A.-CASTAIC DIV.,C,D2,T2,LOS ANGELES  ,SWP
CA1910248,LOS ANGELES CWWD 37-ACTON,C,D2,T2,LOS ANGELES  ,SWP
CA1910249,WHITE FENCE FARMS MWC NO. 1,C,D2,T2,LOS ANGELES  ,SWP
CA1910250,SANTA CLARITA VALLEY W.A.-PINETREE DIV.,C,D4,TD,LOS ANGELES  ,SWP
CA1910255,SANTA CLARITA VALLEY W.A.-TESORO DIV.,C,D2,T1,LOS ANGELES  ,SWP
CA1910801,FENNER CANYON YOUTH CONSERVATION CAMP,C,D1,There are no treatment plants,LOS ANGELES  ,GW
CA2000293,MD 46 AHWAHNEE RESORTS,C,D1,T1,MADERA  ,GW
CA2000501,BASS LAKE ANNEX 3,C,D1,There are no treatment plants,MADERA  ,GW
CA2000502,BASS LAKE HEIGHTS MUTUAL WATER,C,D1,T2,MADERA  ,GW
CA2000504,LA VINA RANCH COLD STORAGE,C,D1,There are no treatment plants,MADERA  ,GW
CA2000506,SIERRA LINDA MUTUAL WATER CO,C,D1,There are no treatment plants,MADERA  ,GW
CA2000509,CASCADEL MUTUAL WATER SYSTEM,C,D1,T1,MADERA  ,GW
CA2000511,MD 85 VALETA,C,D1,There are no treatment plants,MADERA  ,GW
CA2000512,EAST ACRES MUTUAL WATER COMPANY,C,D1,There are no treatment plants,MADERA  ,GW
CA2000521,BROADVIEW TERRACE MUTUAL WATER COMPANY,C,D1,There are no treatment plants,MADERA  ,GWP
CA2000524,SKY ACRES MUTUAL WATER CORP,C,D1,There are no treatment plants,MADERA  ,GW
CA2000526,PIKE RANCH MUTUAL WATER CO,C,D1,T1,MADERA  ,GW
CA2000527,YOSEMITE FORKS EST MUTUAL,C,D1,TD,MADERA  ,GW
CA2000529,BONADELLE RANCHOS NO. 2  MUTUAL WATER CO,C,D2,TD,MADERA  ,GW
CA2000530,CRASS MUTUAL WATER COMPANY,C,D1,TD,MADERA  ,GW
CA2000533,SUGAR PINE HOMEOWNERS ASSOC,C,D1,There are no treatment plants,MADERA  ,GW
CA2000534,LEISURE ACRES MUTUAL WATER COMPANY,C,D1,There are no treatment plants,MADERA  ,GW
CA2000538,CEDAR VALLEY MUTUAL WATER CO,C,D1,TD,MADERA  ,GW
CA2000544,MADERA CO MD1-HIDDEN LAKE ESTATES,C,D1,T2,MADERA  ,SW
CA2000549,MD 05 MOUNTAIN RANCHES,C,D1,T1,MADERA  ,GW
CA2000551,MD 07 MARINA VIEW HEIGHTS,C,D1,T1,MADERA  ,GW
CA2000552,MD 24 TEAFORD MEADOW LAKES,C,D1,There are no treatment plants,MADERA  ,GW
CA2000553,MD 28 RIPPERDAN SELF HELP,C,D1,There are no treatment plants,MADERA  ,GW
CA2000554,MD 33 FAIRMEAD,C,D1,TD,MADERA  ,GW
CA2000557,MD 43 MIAMI CREEK KNOLLS,C,D1,TD,MADERA  ,GW
CA2000561,MD 08 NORTH FORK WATER SYSTEM,C,D1,TD,MADERA  ,GW
CA2000573,THE VILLAGE,C,D1,There are no treatment plants,MADERA  ,GW
CA2000589,MAMMOTH POOL MOBILE HOME PARK,C,D1,TD,MADERA  ,GW
CA2000592,TWO TWENTY FOUR MOBILE HOME PK,C,D1,There are no treatment plants,MADERA  ,GW
CA2000593,OAKHURST MOBILE HOME ESTATES,C,D1,T1,MADERA  ,GW
CA2000595,MADERA MH & RV PARK,C,D1,There are no treatment plants,MADERA  ,GW
CA2000605,WHISPERING PINES MHP,C,D1,There are no treatment plants,MADERA  ,GW
CA2000608,WILDWOOD MOBILE HOME PK INC,C,D1,T4,MADERA  ,GW
CA2000647,JOHN HOVANNISIAN WATER SYSTEM,C,D1,There are no treatment plants,MADERA  ,GW
CA2000688,ECCO,C,D1,T2,MADERA  ,GW
CA2000690,MD 73 QUARTZ MOUNTAIN,C,D1,T1,MADERA  ,GW
CA2000692,MD 95 RANCHOS WEST,C,D1,There are no treatment plants,MADERA  ,GW
CA2000724,SA 14 CHUK CHANSE SUBDIVISION,C,D1,TD,MADERA  ,GW
CA2000727,MD 36 EASTIN ARCOLA,C,D1,There are no treatment plants,MADERA  ,GW
CA2000728,MD 37 LA VINA,C,D1,There are no treatment plants,MADERA  ,GW
CA2000729,MADERA CO SA16 SUMNER HILL,C,D1,T2,MADERA  ,SW
CA2000737,MD 42 STILL MEADOW,C,D1,TD,MADERA  ,GW
CA2000757,MD 63 MEADOW SPRINGS RANCH,C,D1,T1,MADERA  ,GW
CA2000775,OAK CREEK MOBILE HOME PARK,C,D1,T1,MADERA  ,GW
CA2000800,MARQUEZ RENTAL,C,D1,There are no treatment plants,MADERA  ,GW
CA2000828,SHADY OAKS MOBILE HOME PARK LLC,C,D1,There are no treatment plants,MADERA  ,GW
CA2000832,SKP PARK OF THE SIERRAS INC,C,D1,There are no treatment plants,MADERA  ,GW
CA2000849,MD 60 DILLON ESTATES,C,D1,There are no treatment plants,MADERA  ,GW
CA2000851,MD 40 SUNSET RIDGE ESTATES,C,D1,There are no treatment plants,MADERA  ,GW
CA2000865,MD 58 SIERRA HIGHLANDS,C,D1,There are no treatment plants,MADERA  ,GW
CA2010001,CHOWCHILLA CITY WATER DEPT,C,D3,TD,MADERA  ,GW
CA2010002,CITY OF MADERA,C,D4,T2,MADERA  ,GW
CA2010003,BASS LAKE WATER COMPANY,C,D2,T2,MADERA  ,SW
CA2010004,MADERA CO CMD19-PARKWOOD,C,D2,T1,MADERA  ,GW
CA2010005,YOSEMITE SPRING PARK UTIL CO,C,D3,T2,MADERA  ,GW
CA2010006,MADERA CO SA3-PARKSDALE,C,D2,There are no treatment plants,MADERA  ,GW
CA2010007,CAL AM - OAKHURST,C,D3,T3,MADERA  ,GW
CA2010008,MADERA CO MD10A-MADERA RANCHOS,C,D2,There are no treatment plants,MADERA  ,GW
CA2010009,BAKMAN WATER-ROLLING HILLS,C,D2,T2,MADERA  ,GW
CA2010010,MADERA VALLEY WATER COMPANY,C,D2,T2,MADERA  ,GW
CA2010011,MADERA CO SA1-INDIAN LAKES,C,D2,T1,MADERA  ,GW
CA2010012,CAL AM - RAYMOND,C,D1,T3,MADERA  ,GW
CA2010013,CAL AM - COARSEGOLD,C,D1,Operator is not required,MADERA  ,GW
CA2010014,CAL AM - GOLDSIDE,C,D1,TD,MADERA  ,GW
CA2010016,RIVERSTONE/ROOTCREEK WATER DISTRICT,C,D2,TD,MADERA  ,GW
CA2010017,"TESORO VIEJO MASTER MWC, INC.",C,D2,T3,MADERA  ,SW
CA2010800,CENTRAL CA WOMENS FACILITY,C,D2,T1,MADERA  ,GW
CA2010801,VALLEY STATE PRISON,C,D2,T2,MADERA  ,GW
CA2100508,MUIR BEACH COMMUNITY,C,D1,T1,MARIN  ,GW
CA2100519,ESTERO MUTUAL,C,D1,T2,MARIN  ,SW
CA2100549,BLUE MOUNTAIN CENTER,C,D1,T1,MARIN  ,GW
CA2100565,GREEN GULCH FARM,C,D1,T2,MARIN  ,GU
CA2100579,NICASIO VALLEY RANCH MUTUAL,C,D1,T2,MARIN  ,GW
CA2110001,INVERNESS PUBLIC UTILITY DIST,C,D1,T2,MARIN  ,SW
CA2110002,MARIN MUNICIPAL WATER DISTRICT,C,D5,T5,MARIN  ,SW
CA2110003,NORTH MARIN WATER DISTRICT,C,D5,T4,MARIN  ,SW
CA2110004,STINSON BEACH COUNTY WTR DIST,C,D2,T2,MARIN  ,SW
CA2110005,BOLINAS COMMUNITY PUD,C,D2,T2,MARIN  ,SW
CA2110006,NORTH MARIN WD - PT. REYES,C,D2,T1,MARIN  ,GW
CA2110007,COAST SPRINGS - CAL. WATER SERVICE (PUC),C,D1,T3,MARIN  ,SW
CA2110008,LAWSON S LANDING,C,D1,TD,MARIN  ,GW
CA2110350,NPS GGNRA,C,D1,There are no treatment plants,MARIN  ,SWP
CA2110502,NPS PRNS - BEACHES,C,NR,TD,MARIN  ,GW
CA2210001,MARIPOSA PUBLIC UTILITY DIST,C,D2,T3,MARIPOSA  ,SW
CA2210002,PONDEROSA BASIN MUTUAL WTR CO,C,D1,There are no treatment plants,MARIPOSA  ,GW
CA2210503,YOSEMITE NPS-YOSEMITE VALLEY,C,D1,TD,MARIPOSA  ,GW
CA2210510,YOSEMITE NPS-WAWONA,C,D1,T2,MARIPOSA  ,SW
CA2210515,YOSEMITE NPS-EL PORTAL,C,D1,TD,MARIPOSA  ,GW
CA2210851,CDF  & FP - MT. BULLION,C,D1,TD,MARIPOSA  ,GW
CA2210900,CEDAR LODGE RESORT,C,D1,T3,MARIPOSA  ,GW
CA2210901,MPWD-COULTERVILLE CSA 1,C,D1,Operator is not required,MARIPOSA  ,GW
CA2210903,FISHCAMP MUTUAL WATER COMPANY,C,D1,There are no treatment plants,MARIPOSA  ,GW
CA2210905,"MCCLURE BOAT CLUB, INC.",C,D1,T2,MARIPOSA  ,SW
CA2210906,MARIPOSA PINES MUTUAL,C,D1,There are no treatment plants,MARIPOSA  ,GW
CA2210921,WHISPERING PINES APARTMENTS,C,D1,TD,MARIPOSA  ,GW
CA2210924,YOSEMITE WEST WATER SYSTEM,C,D1,T1,MARIPOSA  ,GW
CA2210925,YOSEMITE TERRACE ESTATES,C,D1,There are no treatment plants,MARIPOSA  ,GW
CA2300502,ALBION MUTUAL WATER COMPANY,C,D1,TD,MENDOCINO  ,GW
CA2300506,MEADOW ESTATES MUTUAL,C,D1,T1,MENDOCINO  ,GW
CA2300507,CALPELLA COUNTY WATER DISTRICT,C,D1,There are no treatment plants,MENDOCINO  ,SWP
CA2300514,ELK COUNTY WATER DISTRICT,C,D1,T3,MENDOCINO  ,GU
CA2300545,SHORELANDS ROAD & WATER COMPANY,C,D1,TD,MENDOCINO  ,GW
CA2300590,SURFWOOD MUTUAL WATER CORPORATION,C,D2,T2,MENDOCINO  ,SW
CA2300591,PINE MOUNTAIN MUTUAL WATER CO.,C,D1,T2,MENDOCINO  ,SW
CA2300596,BIG RIVER VISTA MUTUAL WATER COMPANY,C,D1,T1,MENDOCINO  ,GW
CA2300604,POINT OF VIEW MUTUAL WATER CO,C,D1,T1,MENDOCINO  ,GW
CA2300605,RIVER ESTATES MUTUAL WATER COMPANY,C,D1,T1,MENDOCINO  ,GW
CA2300606,LAKE VIEW MUTUAL WATER CO.,C,D1,TD,MENDOCINO  ,GW
CA2300609,SEAFAIR ROAD AND WATER COMPANY,C,D1,T1,MENDOCINO  ,GW
CA2300610,CASPAR SOUTH SERVICE COMPANY,C,D1,T2,MENDOCINO  ,GU
CA2300634,OCEAN'S EDGE ESTATES,C,D1,T1,MENDOCINO  ,GW
CA2300638,WILDWOOD CAMPGROUND,C,D1,T1,MENDOCINO  ,GW
CA2300644,WOODSIDE RV PARK,C,D1,T2,MENDOCINO  ,GU
CA2300646,BELLA SHORES MOBILE HOME PARK,C,D1,TD,MENDOCINO  ,GW
CA2300663,BRANSCOMB MOBILE HOME PARK,C,D1,T2,MENDOCINO  ,SW
CA2300667,"WOODS, THE (MENDOCINO)",C,D1,TD,MENDOCINO  ,GW
CA2300668,POINT CABRILLO HIGHLANDS,C,D1,TD,MENDOCINO  ,GW
CA2300705,LITTLE LAKE MOBILE HOME PARK,C,D1,T1,MENDOCINO  ,GW
CA2300708,RIDGEWOOD WATER SYSTEM,C,D1,T2,MENDOCINO  ,GU
CA2300717,CREEKSIDE CABINS & RV RESORT,C,D1,T1,MENDOCINO  ,GW
CA2300730,WESTPORT COUNTY WATER DISTRICT,C,D1,T3,MENDOCINO  ,SW
CA2300731,"CITY OF 10,000 BUDDHAS",C,D1,T1,MENDOCINO  ,GW
CA2300735,HOLLY RANCH VILLAGE,C,D1,T1,MENDOCINO  ,GW
CA2300743,DOLPHIN ISLE MARINA,C,D1,TD,MENDOCINO  ,GW
CA2300832,HILLS RANCH MUTUAL WATER COMPANY,C,D1,T1,MENDOCINO  ,GW
CA2300837,YOKAYO TRIBE OF INDIANS,C,D1,TD,MENDOCINO  ,GW
CA2300892,COVELO MOBILE HOME PARK,C,D1,T1,MENDOCINO  ,GW
CA2310001,"FORT BRAGG, CITY OF",C,D2,T3,MENDOCINO  ,SW
