PWSID,PWS_Name,Primacy_FINAL,Final_inst_update,Inst_Subtype,SWRCB_LPA,CPUC
CA1910157,SUNNY SLOPE WATER CO.,DISTRICT 15 - METROPOLITAN,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910023,AVERYDALE MWC,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910061,LAS FLORES WATER CO.,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910084,MAYWOOD MUTUAL WATER CO. #1,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910086,MAYWOOD MUTUAL WATER CO. #3,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910091,MONTEBELLO LAND & WATER CO.,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910163,VALENCIA HEIGHTS WATER CO.,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910085,MAYWOOD MUTUAL WATER CO. #2,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910140,RUBIO CANON LAND & WATER ASSOCIATION,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910081,LYNWOOD PARK MUTUAL WATER CO.,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910053,HEMLOCK MUTUAL WATER CO.,DISTRICT 22 - ANGELES,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1910249,WHITE FENCE FARMS MWC NO. 1,DISTRICT 22 - ANGELES,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1900523,WHITE FENCE FARMS MWC NO.3,DISTRICT 22 - ANGELES,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA1900794,ANTELOPE PARK MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900936,AQUA J. MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900130,DEL RIO MUTUAL,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900804,EVERGREEN MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900809,LANDALE MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900158,LITTLE BALDY WATER,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900303,LLANO MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900100,METTLER VALLEY MUTUAL,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1907014,NORTH TRAILS MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900145,REESEDALE MUTUAL,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900301,SHADOW ACRES MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900903,SLEEPY VALLEY WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1910158,STERLING MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900146,SUNNYSIDE FARMS MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900154,TIERRA BONITA MUTUAL WATER,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900102,WESTSIDE PARK MUTUAL WATER,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900155,WILSONA GARDENS MUTUAL,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900801,COLORADO MUTUAL WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1907028,SPV WATER COMPANY,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1900075,BLEICH FLATS MUTUAL,LPA49 - LA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA1910063,LINCOLN AVENUE WATER CO.,DISTRICT 16 - CENTRAL,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2000521,BROADVIEW TERRACE MUTUAL WATER COMPANY,DISTRICT 11 - MERCED,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2010010,MADERA VALLEY WATER COMPANY,DISTRICT 11 - MERCED,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2010017,"TESORO VIEJO MASTER MWC, INC.",DISTRICT 11 - MERCED,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2000502,BASS LAKE HEIGHTS MUTUAL WATER,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000529,BONADELLE RANCHOS MUTUAL WATER,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000509,CASCADEL MUTUAL WATER SYSTEM,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000512,EAST ACRES MUTUAL WATER COMPANY,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000534,LEISURE ACRES MUTUAL WATER COMPANY,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000526,PIKE RANCH MUTUAL WATER CO,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000506,SIERRA LINDA MUTUAL WATER CO,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000524,SKY ACRES MUTUAL WATER CORP,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000533,SUGAR PINE HOMEOWNERS ASSOC,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000527,YOSEMITE FORKS EST MUTUAL,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000538,CEDAR VALLEY MUTUAL WATER CO,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000530,CRASS MUTUAL WATER COMPANY,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2000501,BASS LAKE ANNEX 3,LPA50 - MADERA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2100579,NICASIO VALLEY RANCH MUTUAL,DISTRICT 25 - MARIN,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2100519,ESTERO MUTUAL,DISTRICT 25 - MARIN,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2210903,FISHCAMP MUTUAL WATER COMPANY,DISTRICT 11 - MERCED,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2210002,PONDEROSA BASIN MUTUAL WTR CO,DISTRICT 11 - MERCED,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2210906,MARIPOSA PINES MUTUAL,DISTRICT 11 - MERCED,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300502,ALBION MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300596,BIG RIVER VISTA MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300610,CASPAR SOUTH SERVICE COMPANY,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300606,LAKE VIEW MUTUAL WATER CO.,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300506,MEADOW ESTATES MUTUAL,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300591,PINE MOUNTAIN MUTUAL WATER CO.,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300604,POINT OF VIEW MUTUAL WATER CO,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300605,RIVER ESTATES MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300590,SURFWOOD MUTUAL WATER CORPORATION,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2300832,HILLS RANCH MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2600699,CHALFANT VALLEY WEST M.W.C.,LPA56 - MONO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2600546,CROWLEY LAKE MUTUAL WATER COMPANY,LPA56 - MONO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2600532,LUNDY MUTUAL WATER COMPANY,LPA56 - MONO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2600733,COLD WATER CANYON MWC,LPA56 - MONO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2600538,LOWER ROCK CREEK MUTUAL WATER CO.,LPA56 - MONO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2600620,MOUNTAIN MEADOWS MWC,LPA56 - MONO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2600621,WHITE MOUNTAIN MUTUAL WATER COMPANY,LPA56 - MONO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2702520,ARROYO SECO ESTATES MWS,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2702148,ASOLEADO MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700503,ASSISI MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701731,BRANDON CREEK MWS,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701888,CACHAGUA MUTUAL WS (#4),LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701254,CARMEL RIVIERA MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700634,CHETMOORE ACRES WA,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701898,CLEAR RIDGE WA,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701279,COASTLANDS MWS (POST CREEK),LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700534,COLONIAL OAK WC INC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701929,COUNTRY MEADOWS MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2702374,COUNTRYSIDE ESTATES MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700548,DOLAN RD MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700586,GABILAN WC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700686,GARLEN COURT WS,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2702554,HIDDEN CANYON RANCH MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701789,HOLLY HILLS MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701918,LOMAS DEL SOL MWS,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701570,LOS CARNEROS MWA,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701503,MESA DEL TORO MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701452,MONTEREY DUNES MWA,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700656,MORO COJO MWA,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701935,MOUNT TORO RANCHOS MWA,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700509,OAK MANOR WS,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700674,PARADISE LAKE MUTUAL WATER CO.,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701263,PARTINGTON MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701364,PEDRAZZI MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701956,PIONEER PLACE MWS,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700702,PRUNEDALE MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700709,RANCHO BORROMEO MWS,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701278,RANCHO CHAPARRAL MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701822,ROBLEY PROPERTY MWS,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2702466,SAN VICENTE MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701589,SUNNY ACRES MWS,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2702608,THIMIO MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700775,TIERRA VERDE MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701959,TIERRA VISTA MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701800,TULARCITOS MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2702003,VIERRA MEADOWS MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2702439,WOODLAND HEIGHTS MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700731,Z RANCH MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2702055,VIERRA KNOLLS MWC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700547,DESMOND RD WS #03,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2701926,MORO RD WS #09,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700663,MURPHY HILL WS #02,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2700665,OAK HEIGHTS W & R CO INC,LPA57 - MONTEREY COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2810001,HOWELL MOUNTAIN MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA2800527,LINDA FALLS TERRACE MUTUAL,LPA58 - NAPA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2800528,LINDA VISTA MUTUAL WATER CO,LPA58 - NAPA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2801080,MILTON ROAD WATER COMPANY,LPA58 - NAPA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2800516,TUCKER ACRES MUTUAL WATER CO.,LPA58 - NAPA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2800525,LA TIERRA HEIGHTS MUTUAL,LPA58 - NAPA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2800532,VAILIMA ESTATES MUTUAL WATER,LPA58 - NAPA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2900511,SHADY LAKE WATER ASSOCIATION,LPA59 - NEVADA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA2900548,SIERRA ESTATES MUTUAL WATER COMPANY,LPA59 - NEVADA COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3010008,EASTSIDE WATER ASSOCIATION,DISTRICT 08 - SANTA ANA,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3000519,HYNES ESTATES MUTUAL WATER CO.,DISTRICT 08 - SANTA ANA,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3000618,LIBERTY PARK WATER ASSOCIATION,DISTRICT 08 - SANTA ANA,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3010097,MIDWAY CITY MUTUAL WC,DISTRICT 08 - SANTA ANA,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3000585,PAGE AVENUE MUTUAL WATER COMPANY,DISTRICT 08 - SANTA ANA,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3000825,SOUTH MIDWAY CITY MUTUAL WATER CO.,DISTRICT 08 - SANTA ANA,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3110019,SQUAW VALLEY MWC,DISTRICT 02 - LASSEN,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3110031,WARD WELL WATER COMPANY,DISTRICT 02 - LASSEN,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3100041,ALPINE MEADOWS PROPERTY OWNERS ASSO,LPA61 - PLACER COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3100058,DUTCH FLAT MUTUAL,LPA61 - PLACER COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3103310,EMIGRANT GAP MUTUAL WATER CO.,LPA61 - PLACER COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3100528,GOLDEN HILLS MUTUAL WATER CO,LPA61 - PLACER COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3107339,FOLSOM LAKE MUTUAL WATER CO,LPA61 - PLACER COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3100538,ROSECREST MUTUAL,LPA61 - PLACER COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3210006,LAKE ALMANOR COUNTRY CLUB MWC,DISTRICT 02 - LASSEN,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3210007,WEST ALMANOR M.W.C.,DISTRICT 02 - LASSEN,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3200102,WHITEHAWK RANCH MWC,DISTRICT 02 - LASSEN,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3200134,BLAIRSDEN WATER USERS ASSN,LPA62 - PLUMAS COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3310004,BOX SPRINGS MUTUAL WC,DISTRICT 20 - RIVERSIDE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3310046,FARM MUTUAL W.C. (THE),DISTRICT 20 - RIVERSIDE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3310026,NUEVO WATER COMPANY,DISTRICT 20 - RIVERSIDE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3310033,SANTA ANA RIVER WATER COMPANY,DISTRICT 20 - RIVERSIDE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3310017,SOUTH MESA WC,DISTRICT 20 - RIVERSIDE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3310051,MYOMA DUNES MUTUAL WATER COMPANY,DISTRICT 20 - RIVERSIDE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3301031,BANNING HTS. MUTUAL WATER CO.,DISTRICT 20 - RIVERSIDE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3301180,ANZA MUTUAL WATER COMPANY,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3301877,BLOCK 77 WATER COMPANY,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3301107,CARVER TRACT MUTUAL WATER COMP,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3301114,CHERRY VALLEY WATER COMPANY,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3301937,MESQUITE MUTUAL WATER CO.,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3301502,PARADISE VALLEY MWC,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3301535,RANCHO CARRILLO MWC,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3301541,RECHE CANYON MUTUAL WATER CO.,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3301676,THOMAS MOUNTAIN WATER COMPANY,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3301682,TRAILS END MUTUAL WATER COMPANY,LPA63 - RIVERSIDE COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3410016,ORANGE VALE WATER COMPANY,DISTRICT 09 - SACRAMENTO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3400138,LOCKE WATER WORKS CO [SWS],LPA64 - SACRAMENTO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3400172,TOKAY PARK WATER CO,LPA64 - SACRAMENTO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3400130,MAGNOLIA MUTUAL WATER,LPA64 - SACRAMENTO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3500900,ASHFORD HIGHLANDS MWC,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500823,BEST ROAD MWC,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500912,COMSTOCK MUTUAL WATER COMPANY,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500911,CREEKBRIDGE MUTUAL WATER COMPANY,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500578,LOS MADRONES MWC,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500510,MCMAHON ROAD MUTUAL WATER COMPANY,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500581,RANCHO SAN JOAQUIN MWC,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500549,ROSA MORADA MUTUAL WATER COMPANY,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500575,SPRINGWOOD ESTATES MWC,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500825,UNION HEIGHTS MWC,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500552,VENTURE ESTATES MWC,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500579,VINEYARD ESTATES MWC,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3500576,AROMAS HILLS MUTUAL WATER ASSOCIATION,DISTRICT 05 - MONTEREY,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610002,ALPINE WATER USERS ASSOCIATION,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610016,GLEN MARTIN MWC,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610023,GREEN VALLEY MWC,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3600139,JUBILEE MWC,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610031,MUSCOY MWC NO. 1,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610109,SHEEP CREEK WATER COMPANY,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610048,TERRACE WATER COMPANY,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610051,VALLEY OF ENCHANTMENT MWC,DISTRICT 13 - SAN BERNARDINO,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610011,CEDARPINES PARK MWC,DISTRICT 27 - MOJAVE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610117,DEVORE WC,DISTRICT 27 - MOJAVE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610021,FALLSVALE SERVICE COMPANY,DISTRICT 27 - MOJAVE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610028,MARYGOLD MWC,DISTRICT 27 - MOJAVE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610057,RIVERSIDE HIGHLAND WATER COMPANY,DISTRICT 27 - MOJAVE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610082,SAN ANTONIO CANYON MSC,DISTRICT 27 - MOJAVE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610085,SAN ANTONIO WATER COMPANY,DISTRICT 27 - MOJAVE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610046,VALLEY VIEW PARK MWC,DISTRICT 27 - MOJAVE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3610053,WESTERN HEIGHTS WATER COMPANY,DISTRICT 27 - MOJAVE,Mutual Benefit,Mutual Water Company,SWRCB,NO
CA3600025,BAR-LEN MWC,LPA66 - SAN BERNARDINO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3600064,CAMP WATERMAN MWC,LPA66 - SAN BERNARDINO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3600070,CENTER WATER CO,LPA66 - SAN BERNARDINO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3600088,DESERT DAWN MWC,LPA66 - SAN BERNARDINO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3600107,FOREST PARK MWC,LPA66 - SAN BERNARDINO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3600297,GORDON ACRES WATER CO,LPA66 - SAN BERNARDINO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3600156,LUCERNE VALLEY MWC,LPA66 - SAN BERNARDINO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3600157,LUCERNE VISTA MWC,LPA66 - SAN BERNARDINO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
CA3600184,NORTH SHORE MWC,LPA66 - SAN BERNARDINO COUNTY,Mutual Benefit,Mutual Water Company,LPA,NO
