"","PWSID","PWS_Name","Primacy_FINAL","Final_inst_update","Inst_Subtype","Residential","public","enfranchisement","Variablecoded","enfranchisement_final","Changed_enfranchisement.","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","FUNDING_RECEIVED_SINCE_2017","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","ABESENCE_OF_INTERTIES_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","EXTREME_WATER_BILL_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","DAYS_CASH_ON_HAND_RISK_LEVEL","OPERATING_RATIO_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_THRESHOLD_MET","Intend.to.apply.","Application.complete.","Type","Principal.County.Served","Primary.Source.Water.Type","Source","Purchased","LN_POP","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL_BI","EXTREME_WATER_BILL_RISK_LEVEL_BI","FUNDING_any","FUNDING_any_failingoratriskonly","NUMBER_OF_WATER_SOURCES_RISK_LEVEL_BI","hasnotreceivedfunding","didnotapplycovid","SC3i_Count_Distribution","Service_disruptions","Affordability_combined_count","Affordability_combined_any","Accessibility_combined_count","Accessibility_combined_any","WQ_combined_count","WQ_combined_any","FAILING","MHI_KD","Percent.hispanicorlatino","Percent.white","Percent.black","Percent.asian","Percent.renter"
"649","CA3301937","MESQUITE MUTUAL WATER CO.","LPA63 - RIVERSIDE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,16,42,79522,13.0418984,"Not At-Risk",0.5,2770.32,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","HIGH",NA,"Did not complete survey","No","C","RIVERSIDE  ","GWP","GW","Purchased",3.76120011569356,NA,NA,"Yes",NA,"High",NA,NA,"0","No",NA,NA,"0","0","0","0","Not failing",94522,71.3359273670558,23.0869001297017,0,2.33463035019455,28.0276816608996
"650","CA3301502","PARADISE VALLEY MWC","LPA63 - RIVERSIDE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,36,30,19621,19.55454073,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","NONE","NONE","NONE","UNKNOWN","No","No","C","RIVERSIDE  ","GW","GW","Self-produced",3.43398720448515,NA,"2","No","No","NONE","Yes","2","0","No","1","1","0","0","1","1","Not failing",34621.0004898458,16.195652264764,73.2608695020927,3.653571449174e-08,3.10942250993532e-09,4.30379755913861
"651","CA3301535","RANCHO CARRILLO MWC","LPA63 - RIVERSIDE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,75,210,127321,28.18930177,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","Yes","Yes","C","RIVERSIDE  ","GW","GW","Self-produced",5.35185813347607,"2","2","No",NA,"NONE",NA,"1","0","No","0","0","0","0","0","0","Not failing",142321,29.0959155575952,67.0949977053694,0,0.96374483708123,13.4228187919463
"652","CA3301541","RECHE CANYON MUTUAL WATER CO.","LPA63 - RIVERSIDE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,53,150,57500,21.14333802,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Less than 1.5%","No","No","C","RIVERSIDE  ","GW","GW","Self-produced",5.01727983681492,"2","2","No",NA,"NONE",NA,"2","0","No","1","1","0","0","0","0","Not failing",68517.9481002806,29.9173930602185,47.5629346356135,12.9037746452502,4.90125897065153,19.7574027528301
"653","CA3301676","THOMAS MOUNTAIN WATER COMPANY","LPA63 - RIVERSIDE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,56,157,103420.4394,19.55454073,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","HIGH","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE","NONE","NONE","UNKNOWN","No","No","C","RIVERSIDE  ","GW","GW","Self-produced",5.06259503302697,NA,NA,"No",NA,"High",NA,"2","0","No",NA,NA,"0","0","1","1","Not failing",117020.678410582,30.1627304330265,63.5563208906964,5.61686412012486,0.478030988946796,19.5751080296269
"654","CA3301682","TRAILS END MUTUAL WATER COMPANY","LPA63 - RIVERSIDE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,34,52,47322.0431,19.55454073,"Potentially At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","NONE","NONE","NONE","UNKNOWN","No","No","C","RIVERSIDE  ","GW","GW","Self-produced",3.97029191355212,NA,"2","No",NA,"High",NA,"2","1","Yes","1","1","1","1","0","0","Not failing",48196.4788725774,18.6750028442888,71.5381771870768,0.997071510826155,0.0848571498575451,6.81977032019141
"655","CA3410016","ORANGE VALE WATER COMPANY","DISTRICT 09 - SACRAMENTO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,5730,16861,89790.04099,12.52699214,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE","NONE","NONE","UNKNOWN","Yes","No","C","SACRAMENTO  ","SWP","SW","Purchased",9.73281784848262,NA,NA,"No",NA,"NONE",NA,"2",NA,NA,NA,NA,"0","0","1","1","Not failing",92693.3849538656,15.2848808761367,70.7850797845682,1.38701507530347,3.64005911596071,25.2124055338438
"656","CA3400138","LOCKE WATER WORKS CO [SWS]","LPA64 - SACRAMENTO COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,44,80,61982,32.79356937,"Failing",0.5,329615.3,"YES","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","HIGH","HIGH","VERY HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","Did not complete survey","No","C","SACRAMENTO  ","GW","GW","Self-produced",4.39444915467244,"2","2","Yes","Yes","High","No","2","0","No","1","1","0","0","1","1","Failing",68248,44.6017699115044,45.8407079646018,0,5.92920353982301,51.9450800915332
"657","CA3400172","TOKAY PARK WATER CO","LPA64 - SACRAMENTO COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,198,653,54977.87039,43.71075819,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","Did not complete survey","No","C","SACRAMENTO  ","GW","GW","Self-produced",6.4831073514572,"2","2","No","No","High","Yes","2","0","No","1","1","0","0","1","1","Not failing",61750,32.1599045346062,22.3747016706444,6.92124105011933,33.7112171837709,24.6835443037975
"658","CA3400130","MAGNOLIA MUTUAL WATER","LPA64 - SACRAMENTO COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,34,90,61982,32.79356937,"Failing",0.5,0,"YES","NO","NO","NO","YES","NONE","NONE","HIGH","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","No","No","C","SACRAMENTO  ","GW","GW","Self-produced",4.51085950651685,"2","2","No","No","High","Yes","2","0","No","1","1","0","0","1","1","Failing",68248,44.6017699115044,45.8407079646018,0,5.92920353982301,51.9450800915332
"659","CA3500900","ASHFORD HIGHLANDS MWC","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,56,132,85425,26.49810293,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","Less than 1.5%","No","No","C","SAN BENITO  ","GW","GW","Self-produced",4.89034912822175,"2","1","No",NA,"NONE",NA,"2","0","No","2","1","0","0","0","0","Not failing",87651,49.6919917864476,40.041067761807,0,10.2669404517454,32.3383084577114
"660","CA3500823","BEST ROAD MWC","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,48,133,201632,23.48832394,"Failing",0,0,"YES","NO","NO","YES","YES","NONE","HIGH","HIGH","NONE","NONE","HIGH","NONE","NONE","MEDIUM","HIGH","NONE","HIGH",NA,"HIGH","1.5% or greater AND less than 2.5%","No","No","C","SAN BENITO  ","GU","GW","Self-produced",4.89783979995091,"1","1","No","No","NONE","Yes","2","0","No","3","1","0","0","2","1","Failing",216632,29.7261189044756,55.310621242485,0,4.20841683366733,6.29370629370629
"661","CA3500912","COMSTOCK MUTUAL WATER COMPANY","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,33,100,39792,33.15539819,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","No","No","C","SAN BENITO  ","GW","GW","Self-produced",4.61512051684126,"2","2","No",NA,"High",NA,"2","0","No","1","1","0","0","0","0","Not failing",54792,60.2222222222222,37.3333333333333,0,0.666666666666667,47.098976109215
"662","CA3500911","CREEKBRIDGE MUTUAL WATER COMPANY","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,22,69,69519,33.82168688,"At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","HIGH","HIGH","NONE","NONE",NA,"HIGH","2.5% or greater","Yes","Yes","C","SAN BENITO  ","GW","GW","Self-produced",4.24849524204936,"1","1","No","No","High","Yes","1","0","No","2","1","0","0","0","0","Not failing",84539.0303761286,67.6729630052866,23.3823943543837,0.152038492305381,2.71106445580907,23.9669263730635
"663","CA3500578","LOS MADRONES MWC","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,15,36,140461,26.49810293,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","HIGH","NONE","NONE","NONE","HIGH","1.5% or greater AND less than 2.5%","No","No","C","SAN BENITO  ","GW","GW","Self-produced",3.61091791264422,"1","1","No",NA,"NONE",NA,"2","0","No","3","1","0","0","0","0","Not failing",155461,29.9866131191432,67.7376171352075,1.87416331994645,0,35.981308411215
"664","CA3500510","MCMAHON ROAD MUTUAL WATER COMPANY","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,32,102,143750,33.15539819,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","HIGH","Less than 1.5%","Did not complete survey","No","C","SAN BENITO  ","GW","GW","Self-produced",4.63472898822964,"2","2","No",NA,"High",NA,"2","0","No","1","1","0","0","0","0","Not failing",158750,38.623326959847,53.9834289356278,0,1.01975780752071,16.2551440329218
"665","CA3500581","RANCHO SAN JOAQUIN MWC","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,30,914,151250,33.15539819,"Failing",0,0,"YES","YES","NO","NO","NO","NONE","NONE","HIGH","NONE","HIGH","HIGH","VERY HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","Did not complete survey","No","C","SAN BENITO  ","GW","GW","Self-produced",6.81892406527552,"2","2","No","No","High","Yes","2","1","Yes","1","1","1","1","1","1","Failing",158750,38.623326959847,53.9834289356278,0,1.01975780752071,16.2551440329218
"666","CA3500549","ROSA MORADA MUTUAL WATER COMPANY","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,21,138,143750,33.15539819,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","No","No","C","SAN BENITO  ","GW","GW","Self-produced",4.93447393313069,"2","2","No",NA,"NONE",NA,"2","0","No","1","1","0","0","0","0","Not failing",158750,38.623326959847,53.9834289356278,0,1.01975780752071,16.2551440329218
"667","CA3500550","SAN JUSTO MUTUAL WATER COMPANY","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,61,160,85985.15632,26.49807079,"Not At-Risk",NA,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Less than 1.5%","Did not complete survey","No","C","SAN BENITO  ","GW","GW","Self-produced",5.08140436498446,"2","2","No",NA,"High",NA,"2","2","Yes","1","1","1","1","0","0","Not failing",87797.1501042643,49.6311854814572,40.126878405351,0.00579409984089504,10.2343932205689,32.3456278318168
"668","CA3500575","SPRINGWOOD ESTATES MWC","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,15,50,143750,33.15539819,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","MEDIUM","NONE","NONE","HIGH","HIGH","Less than 1.5%","Did not complete survey","No","C","SAN BENITO  ","GW","GW","Self-produced",3.93182563272433,"2","1","No",NA,"High",NA,"2","0","No","2","1","0","0","0","0","Not failing",158750,38.623326959847,53.9834289356278,0,1.01975780752071,16.2551440329218
"669","CA3500825","UNION HEIGHTS MWC","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,29,98,69519,33.82168688,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE","NONE","NONE","UNKNOWN","Did not complete survey","No","C","SAN BENITO  ","GW","GW","Self-produced",4.59511985013459,NA,NA,"No",NA,"NONE",NA,"2","0","No",NA,NA,"0","0","0","0","Not failing",84519.2057586368,67.7607404390292,23.3010719617575,0.152780696301051,2.67417905087023,23.9135969811463
"670","CA3500552","VENTURE ESTATES MWC","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,18,50,201632,23.48832394,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Less than 1.5%","No","No","C","SAN BENITO  ","GW","GW","Self-produced",3.93182563272433,"2","2","No",NA,"High",NA,"2","0","No","1","1","0","0","0","0","Not failing",216632,29.7261189044756,55.310621242485,0,4.20841683366733,6.29370629370629
"671","CA3500579","VINEYARD ESTATES MWC","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,26,90,105634,9.108766344,"Potentially At-Risk",0,0,"NO","NO","NO","NO","NO","HIGH","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","Did not complete survey","No","C","SAN BENITO  ","GW","GW","Self-produced",4.51085950651685,"2","2","No",NA,"High",NA,"2","0","No","1","1","0","0","1","1","Not failing",120634,34.2739564961787,59.5532039976484,0,1.46972369194591,28.629579375848
"672","CA3500576","AROMAS HILLS MUTUAL WATER ASSOCIATION","DISTRICT 05 - MONTEREY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,10,40,187774,26.49810293,"Potentially At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE",NA,"No","No","C","SAN BENITO  ","GW","GW","Self-produced",3.71357206670431,NA,NA,"No",NA,"High",NA,NA,"0","No",NA,NA,"0","0","0","0","Not failing",202722.040739163,31.9050152430616,66.0921241463181,0,0.000839452588565905,23.2641821831517
"673","CA3610002","ALPINE WATER USERS ASSOCIATION","DISTRICT 13 - SAN BERNARDINO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,952,2534,69549.38969,16.64396596,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","No","No","C","SAN BERNARDINO  ","SWP","SW","Purchased",7.83794891602528,"2","2","No","No","NONE","Yes","2","0","No","1","1","0","0","2","1","Not failing",NA,38.6918469477791,44.2655481167782,0.819566480240584,9.87015531840192,37.5818718002695
"674","CA3610016","GLEN MARTIN MWC","DISTRICT 13 - SAN BERNARDINO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,337,450,86016,14.52605013,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","No","No","C","SAN BERNARDINO  ","GW","GW","Self-produced",6.11146733950268,"2","2","No",NA,"NONE",NA,"2","0","No","1","1","0","0","0","0","Not failing",101016,15.2173913043478,81.3664596273292,2.32919254658385,0,19.9004975124378
"675","CA3610023","GREEN VALLEY MWC","DISTRICT 13 - SAN BERNARDINO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,1170,3062,73622.50104,18.67597782,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","No","No","C","SAN BERNARDINO  ","SWP","SW","Purchased",8.02715010683277,"2","2","No",NA,"NONE",NA,"2","0","No","1","1","0","0","0","0","Not failing",80081.7402767628,31.7513012343498,68.246903432957,0,0,11.618541985543
"676","CA3600139","JUBILEE MWC","DISTRICT 13 - SAN BERNARDINO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,230,759,37143,28.96574767,"Not At-Risk",1,6029681.98,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","No","No","C","SAN BERNARDINO  ","GW","GW","Self-produced",6.63331843328038,"2","2","Yes",NA,"NONE",NA,"2","0","No","1","1","0","0","0","0","Not failing",44643,32.5,57.2619047619048,3.69047619047619,0.416666666666667,24.7572815533981
"677","CA3610031","MUSCOY MWC NO. 1","DISTRICT 13 - SAN BERNARDINO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,1453,13000,55492.61718,56.66000542,"Potentially At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","HIGH","1.5% or greater AND less than 2.5%","No","No","C","SAN BERNARDINO  ","GW","GW","Self-produced",9.47278155656217,"1","2","No",NA,"NONE",NA,"2",NA,NA,"2","1","0","0","0","0","Not failing",NA,89.3944195720278,2.85880217566389,4.2643019572724,2.85623760194969,43.2923628042271
"678","CA3610109","SHEEP CREEK WATER COMPANY","DISTRICT 13 - SAN BERNARDINO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,1198,3954,55813.89589,16.11482034,"Failing",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","MEDIUM","NONE","NONE","NONE","NONE","NONE","1.5% or greater AND less than 2.5%","Yes","Yes","C","SAN BERNARDINO  ","GW","GW","Self-produced",8.28273588020175,"1","2","No","No","NONE","Yes","1","0","No","1","1","1","1","0","0","Failing",63315.5094694982,41.01693463843,47.3692949969664,1.94176269443615,6.00645157484765,28.862320058513
"679","CA3610048","TERRACE WATER COMPANY","DISTRICT 13 - SAN BERNARDINO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,608,2400,71902.99631,40.14455173,"Failing",0.5,1193050,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","HIGH","HIGH","HIGH","NONE","NONE","NONE","NONE","2.5% or greater","Yes","Yes","C","SAN BERNARDINO  ","GWP","GW","Purchased",7.78364059622125,"1","1","Yes","Yes","High","No","1","0","No","2","1","1","1","0","0","Failing",79759.6449573903,83.5172797849392,15.7197376009422,0.689145586945818,0.0492246847818442,21.7230747716672
"680","CA3610051","VALLEY OF ENCHANTMENT MWC","DISTRICT 13 - SAN BERNARDINO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,823,1992,51836,26.77085811,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","1.5% or greater AND less than 2.5%","Yes","Yes","C","SAN BERNARDINO  ","SWP","SW","Purchased",7.5973963202128,"1","2","No",NA,"NONE",NA,"1","0","No","1","1","0","0","0","0","Not failing",87212.8737517414,24.9958619290366,67.6171254695789,3.66741853720902,0.157681597364659,38.1903133015097
"681","CA3610011","CEDARPINES PARK MWC","DISTRICT 27 - MOJAVE","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,745,2458,63496.40137,26.77085811,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","No","No","C","SAN BERNARDINO  ","SWP","SW","Purchased",7.80751004221619,"2","2","No",NA,"NONE",NA,"2","0","No","1","1","0","0","0","0","Not failing",76094.1548993974,12.8458888886024,72.9087751759251,3.38470695408569,1.3978697364915,27.9633253595116
"682","CA3610117","DEVORE WC","DISTRICT 27 - MOJAVE","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,477,1574,108538.0723,26.39388201,"Failing",0,493200,"YES","NO","NO","NO","YES","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH",NA,"HIGH","Less than 1.5%","Yes","Yes","C","SAN BERNARDINO  ","GW","GW","Self-produced",7.36201055125973,"2","2","Yes","Yes","NONE","No","1","0","No","0","0","0","0","0","0","Failing",114517.312791541,17.946379322102,65.2912299733359,2.50076307307784,1.49794051914111,27.9569638013249
"683","CA3610021","FALLSVALE SERVICE COMPANY","DISTRICT 27 - MOJAVE","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,492,995,59963,14.52605013,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","NONE",NA,"No","No","C","SAN BERNARDINO  ","GW","GW","Self-produced",6.9037472575846,NA,NA,"No",NA,"NONE",NA,NA,"1","Yes",NA,NA,"1","1","0","0","Not failing",67463,11.0310021629416,73.7563085796684,0.865176640230714,0,37.7495462794918
"684","CA3610028","MARYGOLD MWC","DISTRICT 27 - MOJAVE","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,951,3055,56395.43083,50.22113268,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","Yes","Yes","C","SAN BERNARDINO  ","GW","GW","Self-produced",8.02486215028641,"2","2","No",NA,"NONE",NA,"1","0","No","0","0","0","0","0","0","Not failing",64427.7816677228,81.2646713774956,13.8772889087819,3.77075452513653,0.399047873389878,50.1742845636005
"685","CA3610057","RIVERSIDE HIGHLAND WATER COMPANY","DISTRICT 27 - MOJAVE","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,6217,18681,103252.6164,36.11989819,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","Yes","Yes","C","SAN BERNARDINO  ","GW","GW","Self-produced",9.8353157724328,"2","2","No",NA,"NONE",NA,"1",NA,NA,"0","0","0","0","0","0","Not failing",NA,51.4008707252752,32.7961671537495,6.07938886527351,6.67106778638471,33.2961560646278
"686","CA3610082","SAN ANTONIO CANYON MSC","DISTRICT 27 - MOJAVE","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,64,119,57836.14362,20.56215515,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","1.5% or greater AND less than 2.5%","No","No","C","SAN BERNARDINO  ","GW","GW","Self-produced",4.78749174278205,"1","2","No",NA,"NONE",NA,"2","0","No","2","1","0","0","0","0","Not failing",58491.054904266,25.3639202239643,55.451640948122,6.20078440102076,7.30390299698889,16.8187435162836
"687","CA3610085","SAN ANTONIO WATER COMPANY","DISTRICT 27 - MOJAVE","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,1219,3111,130865.8671,11.60205464,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Less than 1.5%","Did not complete survey","No","C","SAN BERNARDINO  ","GW","GW","Self-produced",8.04302088529828,"2","2","No",NA,"NONE",NA,"2","0","No","1","1","0","0","0","0","Not failing",138443.093187066,28.5402954630846,53.9985540961338,1.63219983811206,13.3027276428968,17.198767704828
"688","CA3610046","VALLEY VIEW PARK MWC","DISTRICT 27 - MOJAVE","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,218,499,104024.6216,26.77085811,"Potentially At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE",NA,"NONE","2.5% or greater","No","No","C","SAN BERNARDINO  ","SWP","SW","Purchased",6.21460809842219,"1","1","No",NA,"NONE",NA,"2",NA,NA,"3","1","0","0","0","0","Not failing",68735.2840296417,1.57352568802413,67.0736454011872,11.6937896862289,0.176620230288422,50.5514541969598
