"","PWSID","PWS_Name","Primacy_FINAL","Final_inst_update","Inst_Subtype","Residential","public","enfranchisement","Variablecoded","enfranchisement_final","Changed_enfranchisement.","SERVICE_CONNECTIONS","POPULATION","MHI","CALENVIRO_SCREEN_SCORE","FINAL_SAFER_STATUS","HOUSEHOLD_SOCIOECONOMIC_BURDEN_RAW_SCORE","FUNDING_RECEIVED_SINCE_2017","PRIMARY_MCL_VIOLATION","SECONDARY_MCL_VIOLATION","E_COLI_VIOLATION","TREATMENT_TECHNIQUE_VIOLATION","MONITORING_AND_REPORTING_VIOLATION","HISTORY_OF_E_COLI_PRESENCE_RISK_LEVEL","TREATMENT_TECHNIUQE_VIOLATIONS_RISK_LEVEL","PERCENTAGE_OF_SOURCES_EXCEEDING_AN_MCL_RISK_LEVEL","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL","NUMBER_OF_WATER_SOURCES_RISK_LEVEL","ABESENCE_OF_INTERTIES_RISK_LEVEL","BOTTLED_WATER_OR_HAULED_WATER_RELIANCE_RISK_LEVEL","SOURCE_CAPACITY_VIOLATION_RISK_LEVEL","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL","EXTREME_WATER_BILL_RISK_LEVEL","OPERATOR_CERTIFICATION_VIOLATIONS_RISK_LEVEL","MONITORING_AND_REPORTING_VIOLATIONS_RISK_LEVEL","DAYS_CASH_ON_HAND_RISK_LEVEL","OPERATING_RATIO_RISK_LEVEL","Intend.to.apply.","Application.complete.","Type","Principal.County.Served","Primary.Source.Water.Type","Source","Purchased","LN_POP","CONSTITUENTS_OF_EMERGING_CONCERN_RISK_LEVEL_BI","NUMBER_OF_WATER_SOURCES_RISK_LEVEL_BI","PERCENT_OF_MEDIAN_HOUSEHOLD_INCOME_MHI_RISK_LEVEL_BI","EXTREME_WATER_BILL_RISK_LEVEL_BI","FUNDING_any","FUNDING_any_failingoratriskonly","hasnotreceivedfunding","didnotapplycovid","TMF_combined_count","TMF_combined_any","Affordability_combined_count","Affordability_combined_any","Accessibility_combined_count","Accessibility_combined_any","WQ_combined_count","WQ_combined_any"
"328","CA3110025","PLACER CWA - FOOTHILL","DISTRICT 02 - LASSEN","Special Act District","Independent","Yes","Yes","Variable","Full","Full",NA,27694,89544,136724.3986,9.50811697,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","Yes","Yes","C","PLACER  ","SW","SW","Self-produced",11.4024965712008,"NONE","NONE","NONE","HIGH","No",NA,NA,"No","0","0","1","1","0","0","0","0"
"329","CA3310005","DESERT WATER AGENCY","DISTRICT 20 - RIVERSIDE","Special Act District","Independent","Yes","Yes","Variable","Full","Full",NA,23280,73224,71377.64902,18.43825206,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","RIVERSIDE  ","SW","SW","Self-produced",11.2012921716959,"NONE","NONE","NONE","NONE","No",NA,NA,"No","0","0","0","0","0","0","0","0"
"330","CA3510007","SAN BENITO COUNTY WATER DISTRICT","DISTRICT 05 - MONTEREY","Special Act District","Independent","Yes","Yes","Variable","Full","Full",NA,2,25,172919.4943,23.48832394,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not complete survey","No","C","SAN BENITO  ","SW","SW","Self-produced",3.25809653802148,NA,NA,NA,NA,"No",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA
"331","CA3610129","MOJAVE WATER AGENCY","DISTRICT 13 - SAN BERNARDINO","Special Act District","Independent","Yes","Yes","Variable","Full","Full",NA,5,0,28029.30967,29.31345127,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","C","SAN BERNARDINO  ","GW","GW","Self-produced",0,NA,NA,NA,NA,"No",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA
"332","CA3610060","BDVWA - GOAT MOUNTAIN ID","DISTRICT 27 - MOJAVE","Special Act District","Independent","Yes","Yes","Variable","Full","Full",NA,585,1118,37604.16325,18.81293862,"Not At-Risk",1,19735.07,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","No","No","C","SAN BERNARDINO  ","GW","GW","Self-produced",7.02019070831193,"NONE","NONE","HIGH","NONE","Yes",NA,NA,"Yes","0","0","2","1","1","1","0","0"
"333","CA3610009","BIGHORN - DESERT VIEW WATER AGENCY","DISTRICT 27 - MOJAVE","Special Act District","Independent","Yes","Yes","Variable","Full","Full",NA,1751,3347,26426,21.30414034,"Not At-Risk",1,112426.04,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","No","No","C","SAN BERNARDINO  ","GW","GW","Self-produced",8.11611843160937,"NONE","NONE","HIGH","NONE","Yes",NA,NA,"Yes","0","0","2","1","1","1","0","0"
"334","CA3610114","CLAWA","DISTRICT 27 - MOJAVE","Special Act District","Independent","Yes","Yes","Variable","Full","Full",NA,1236,2320,94234.11952,24.33974864,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not complete survey","No","C","SAN BERNARDINO  ","SW","SW","Self-produced",7.74975340627444,NA,NA,NA,NA,"No",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA
"335","CA4110021","ESTERO MUNICIPAL IMPROVEMENT DISTRICT","DISTRICT 17 - SANTA CLARA","Special Act District","Independent","Yes","Yes","Variable","Full","Full",NA,8010,36556,174781.698,12.8001944,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","SAN MATEO  ","SWP","SW","Purchased",10.5066279653085,"NONE","HIGH","NONE","NONE","No",NA,NA,"No","0","0","0","0","1","1","0","0"
"336","CA4310027","SANTA CLARA VALLEY WATER DISTRICT","DISTRICT 17 - SANTA CLARA","Special Act District","Independent","Yes","Yes","Variable","Full","Full",NA,1,0,117291.2603,14.97357786,NA,NA,0,"NO","NO","NO","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Did not complete survey","No","C","SANTA CLARA  ","SW","SW","Self-produced",0,NA,NA,NA,NA,"No",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA
"337","CA0103040","NORRIS CANYON PROPERTY OWNERS ASSN","DISTRICT 04 - SAN FRANCISCO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,19,50,204464,13.96958608,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","No","No","C","ALAMEDA  ","GW","GW","Self-produced",3.93182563272433,"NONE","NONE","NONE","HIGH","No",NA,NA,"Yes","0","0","2","1","1","1","0","0"
"338","CA0202504","MARKLEEVILLE WATER CO.","LPA32 - ALPINE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,167,25,86125,13.6151637,"Not At-Risk",0,435300,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","Yes","C","ALPINE  ","SW","SW","Self-produced",3.25809653802148,"NONE","NONE","NONE","NONE","Yes",NA,NA,"No","0","0","0","0","1","1","0","0"
"339","CA0202503","WOODFORDS MUTUAL WATER COMPANY","LPA32 - ALPINE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,16,50,86125,13.6151637,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Did not complete survey","No","C","ALPINE  ","GW","GW","Self-produced",3.93182563272433,"NONE","HIGH","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","2","1","0","0"
"340","CA0310011","FIRST MACE MEADOW # 1","DISTRICT 10 - STOCKTON","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,337,838,73392.83672,11.88807109,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","AMADOR  ","SWP","SW","Purchased",6.73221070646721,"NONE","HIGH","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","1","1","0","0"
"341","CA0310018","FIRST MACE MEADOWS UNIT NO. 2","DISTRICT 10 - STOCKTON","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,82,230,64264,11.88807013,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","No","No","C","AMADOR  ","SWP","SW","Purchased",5.44241771052179,"NONE","HIGH","HIGH","NONE","No",NA,NA,"Yes","0","0","2","1","1","1","0","0"
"342","CA0400155","BIGGERS GLEN MUTUAL WATER CO","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,18,25,130241,9.993863932,"At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","HIGH","HIGH","NONE","No","No","C","BUTTE  ","GW","GW","Self-produced",3.25809653802148,"NONE","HIGH","HIGH","NONE","No","No","Yes","Yes","2","1","2","1","2","1","0","0"
"343","CA0409181","BLUE OAK TERRACE MUTUAL","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,30,81,NA,26.51627798,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE","NONE","NONE","No","No","C","BUTTE  ","GW","GW","Self-produced",4.40671924726425,"NONE","NONE","HIGH","HIGH","No",NA,NA,"Yes","0","0","3","1","1","1","0","0"
"344","CA0400078","FOREST KNOLLS MUTUAL WATER CO","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,21,46,130241,9.993863932,"At-Risk",0,0,"NO","NO","NO","NO","NO","HIGH","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Did not complete survey","No","C","BUTTE  ","GW","GW","Self-produced",3.85014760171006,"NONE","HIGH","NONE","NONE","No","No","Yes","Yes","0","0","1","1","2","1","1","1"
"345","CA0400004","FOREST RANCH MUTUAL WATER SYSTEM","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,42,119,130241,9.993863932,"Not At-Risk",0,65800.13,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","HIGH","NONE","NONE","NONE","NONE","Did not complete survey","No","C","BUTTE  ","GW","GW","Self-produced",4.78749174278205,"NONE","HIGH","HIGH","HIGH","Yes",NA,NA,"Yes","0","0","3","1","2","1","0","0"
"346","CA0400008","GRAN MUTUAL WATER CO","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,91,290,97410,10.78166865,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","HIGH","No","No","C","BUTTE  ","GW","GW","Self-produced",5.67332326717149,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","1","1","1","1","1","1","0","0"
"347","CA0400003","HARTLEY MUTUAL WATER SYSTEM","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,15,41,130241,9.993863932,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","NONE","NONE","NONE","No","No","C","BUTTE  ","GW","GW","Self-produced",3.73766961828337,"NONE","HIGH","HIGH","NONE","No",NA,NA,"Yes","0","0","2","1","2","1","0","0"
"348","CA0400123","HUMBOLDT HIGHLANDS MUTUAL","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,28,58,130241,9.993863932,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","NONE","HIGH","NONE","No","No","C","BUTTE  ","GW","GW","Self-produced",4.07753744390572,"NONE","HIGH","HIGH","NONE","No",NA,NA,"Yes","1","1","2","1","2","1","0","0"
"349","CA0400149","HUMBOLDT WOODLANDS MUTUAL","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,31,55,182094,9.993863932,"Potentially At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","MEDIUM","HIGH","NONE","NONE",NA,"NONE","No","No","C","BUTTE  ","GW","GW","Self-produced",4.02535169073515,"NONE","HIGH","HIGH","HIGH","No",NA,NA,"Yes","0","0","3","1","2","1","0","0"
"350","CA0400151","KEEFER CREEK ESTATES","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,55,160,105735,10.56409069,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","HIGH","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"NONE","Did not complete survey","No","C","BUTTE  ","GW","GW","Self-produced",5.08140436498446,"HIGH","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","1","1","0","0"
"351","CA0400013","MERRY MOUNTAIN MUTUAL","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,97,90,52188,31.48889645,"Not At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","No","No","C","BUTTE  ","GW","GW","Self-produced",4.51085950651685,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","1","1","0","0"
"352","CA0400007","BUTTE CREEK ESTATES MUTUAL WATER CO","LPA34 - BUTTE COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,172,399,157202.9854,21.44246323,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","MEDIUM","NONE","NONE","HIGH","HIGH","No","No","C","BUTTE  ","GW","GW","Self-produced",5.99146454710798,"NONE","NONE","NONE","HIGH","No",NA,NA,"Yes","1","1","2","1","1","1","0","0"
"353","CA0510009","BLUE LAKE SPRINGS MUT WTR","DISTRICT 10 - STOCKTON","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,1726,4801,77166.70256,9.8861843,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","CALAVERAS  ","SWP","SW","Purchased",8.4767877767812,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","0","0","0","0"
"354","CA0500027","LILI VALLEY WATER CO.","LPA35 - CALAVERAS COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,70,99,55139,16.13931443,"Potentially At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","HIGH","Did not complete survey","No","C","CALAVERAS  ","GW","GW","Self-produced",4.60517018598809,"NONE","NONE","HIGH","HIGH","No",NA,NA,"Yes","0","0","3","1","1","1","0","0"
"355","CA0500019","MINERAL MOUNTAIN MUTUAL WATER","LPA35 - CALAVERAS COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,34,67,61150.75633,10.16982335,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","CALAVERAS  ","GW","GW","Self-produced",4.21950770517611,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","1","1","0","0"
"356","CA0707569","ANGLERS SUBDIVISION 4","LPA37 - CONTRA COSTA COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,99,99,91338.36195,31.03829673,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","CONTRA COSTA  ","GW","GW","Self-produced",4.60517018598809,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","1","1","0","0"
"357","CA0707572","BETHEL ISLAND MUTUAL WATER CO","LPA37 - CONTRA COSTA COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,43,123,84006,31.03829673,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","CONTRA COSTA  ","GW","GW","Self-produced",4.82028156560504,"NONE","HIGH","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","2","1","0","0"
"358","CA0707573","DELTA MUTUAL WATER COMPANY","LPA37 - CONTRA COSTA COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,119,333,39321,31.03829673,"Failing",1,0,"YES","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","CONTRA COSTA  ","GW","GW","Self-produced",5.8111409929767,"NONE","NONE","NONE","NONE","No","No","Yes","Yes","0","0","1","1","1","1","1","1"
"359","CA0707585","MORAGA HEIGHTS MUTUAL WATER","LPA37 - CONTRA COSTA COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,20,66,154591,3.848320017,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE","NONE","NONE","No","No","C","CONTRA COSTA  ","GW","GW","Self-produced",4.20469261939097,"NONE","HIGH","HIGH","HIGH","No",NA,NA,"Yes","0","0","3","1","2","1","0","0"
"360","CA0706004","OAKLEY MUTUAL WATER COMPANY","LPA37 - CONTRA COSTA COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,50,170,85611.26679,31.03829673,"Failing",0.5,0,"YES","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","No","No","C","CONTRA COSTA  ","GW","GW","Self-produced",5.14166355650266,"NONE","HIGH","NONE","NONE","No","No","Yes","Yes","0","0","1","1","2","1","1","1"
"361","CA0707576","PLEASANTIMES MUTUAL WATER CO","LPA37 - CONTRA COSTA COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,195,644,78860.83363,31.03829673,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","No","No","C","CONTRA COSTA  ","GW","GW","Self-produced",6.46925031679577,"NONE","NONE","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","1","1","0","0"
"362","CA0707556","SANDMOUND MUTUAL","LPA37 - CONTRA COSTA COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,110,100,84006,31.03829673,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","Did not complete survey","No","C","CONTRA COSTA  ","GW","GW","Self-produced",4.61512051684126,"NONE","HIGH","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","2","1","0","0"
"363","CA0900112","CANDLELIGHT VILLAGE MUTUAL WATER CO.","LPA39 - EL DORADO COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,32,75,85174,9.618286504,"Not At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","NONE","Did not complete survey","No","C","EL DORADO  ","GW","GW","Self-produced",4.33073334028633,"NONE","NONE","HIGH","NONE","No",NA,NA,"Yes","0","0","2","1","1","1","0","0"
"364","CA0900300","KYBURZ MUTUAL WATER COMPANY","LPA39 - EL DORADO COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,118,150,105687.5703,10.64500509,"Failing",0,0,"NO","NO","NO","YES","NO","NONE","HIGH","NONE","NONE","NONE","HIGH","NONE","HIGH","NONE","NONE","NONE","HIGH","NONE","NONE","No","No","C","EL DORADO  ","SW","SW","Self-produced",5.01727983681492,"NONE","NONE","NONE","NONE","No","No","Yes","Yes","1","1","1","1","1","1","1","1"
"365","CA0900308","QUINTETTE SERVICE CORP WATER","LPA39 - EL DORADO COUNTY","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,51,80,56771,11.00048073,"Potentially At-Risk",0.5,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","No","No","C","EL DORADO  ","GW","GW","Self-produced",4.39444915467244,"NONE","HIGH","NONE","NONE","No",NA,NA,"Yes","1","1","1","1","2","1","0","0"
"366","CA1000004","BELMONT WATER CORPORATION","DISTRICT 23 - FRESNO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,40,264,98250,21.44037196,"Failing",0,0,"YES","NO","NO","NO","NO","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","NONE","Yes","No","C","FRESNO  ","GW","GW","Self-produced",5.57972982598622,"NONE","NONE","NONE","NONE","No","No","Yes","Yes","0","0","1","1","0","0","1","1"
"367","CA1000054","LAS DELTAS MUTUAL WATER SYSTEM","DISTRICT 23 - FRESNO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,107,375,36637.55743,50.81422125,"Failing",1,281084.02,"YES","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","UNKNOWN","UNKNOWN","NONE","NONE","UNKNOWN","UNKNOWN","Yes","Yes","C","FRESNO  ","GWP","GW","Purchased",5.9295891433899,"NONE","HIGH","HIGH","HIGH","Yes","Yes","No","No","0","0","2","1","1","1","0","0"
"368","CA1000063","NEW AUBERRY WATER ASSOCIATION","DISTRICT 23 - FRESNO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,35,120,48875,8.783257495,"Not At-Risk",0,3219133.89,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","NONE","NONE","NONE","HIGH","No","No","C","FRESNO  ","GW","GW","Self-produced",4.79579054559674,"NONE","NONE","NONE","NONE","Yes",NA,NA,"Yes","0","0","1","1","1","1","0","0"
"369","CA1000075","TRACT 1199 WATER SYSTEM","DISTRICT 23 - FRESNO","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,10,25,38730,48.82727011,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","MEDIUM","NONE","NONE","NONE","NONE","HIGH","Did not complete survey","No","C","FRESNO  ","GW","GW","Self-produced",3.25809653802148,"NONE","HIGH","HIGH","NONE","No","No","Yes","Yes","0","0","2","1","2","1","0","0"
"370","CA1200547","MILL CREEK M.W.C.","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,36,85,105288,14.75218053,"Not At-Risk",0,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","NONE","NONE","NONE","NONE",NA,"HIGH","No","No","C","HUMBOLDT  ","GW","GW","Self-produced",4.45434729625351,"NONE","HIGH","NONE","NONE","No",NA,NA,"Yes","0","0","1","1","2","1","0","0"
"371","CA1200538","MYERS FLAT M.W.S. INC.","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,100,330,33204,16.46513282,"Potentially At-Risk",1,2283524,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","HIGH","Yes","Yes","C","HUMBOLDT  ","GW","GW","Self-produced",5.80211837537706,"NONE","NONE","HIGH","NONE","Yes",NA,NA,"No","0","0","1","1","1","1","0","0"
"372","CA1206002","PALOMINO ESTATES WATER COMPANY","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,19,64,30573.31024,16.46463183,"At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","HIGH","NONE","NONE","NONE","NONE","HIGH","No","No","C","HUMBOLDT  ","SW","SW","Self-produced",4.17438726989564,"NONE","HIGH","HIGH","NONE","No","No","Yes","Yes","0","0","2","1","2","1","0","0"
"373","CA1200588","SEAWOOD ESTATES MUTUAL WATER COMPANY","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,25,63,21466,10.99230037,"Potentially At-Risk",1,0,"NO","NO","NO","NO","NO","NONE","NONE","NONE","NONE","NONE","HIGH","NONE","NONE","HIGH","MEDIUM","NONE","NONE","HIGH","NONE","Did not complete survey","No","C","HUMBOLDT  ","SW","SW","Self-produced",4.15888308335967,"NONE","NONE","HIGH","HIGH","No",NA,NA,"Yes","1","1","3","1","1","1","0","0"
"374","CA1200566","ORLEANS MUTUAL WATER CO.","DISTRICT 01 - KLAMATH","Mutual Benefit","Mutual Water Company","Yes","No","Limited",NA,"Limited",NA,38,85,NA,14.68940191,"Failing",0.5,288600,"NO","NO","NO","NO","YES","NONE","NONE","NONE","NONE","HIGH","HIGH","NONE","NONE","UNKNOWN","NONE","NONE","NONE","NONE","HIGH","No","No","C","HUMBOLDT  ","SW","SW","Self-produced",4.45434729625351,"NONE","HIGH","HIGH","NONE","Yes","Yes","No","Yes","0","0","2","1","2","1","0","0"
